Ref,Val,Package,PosX,PosY,Rot,Side
"R29","470","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",185.100000,-51.700000,-90.000000,top
"R30","120","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",194.975000,-61.000000,180.000000,top
"R32","1k5","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",194.412500,-77.800000,180.000000,top
"R33","1k5","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",194.387500,-80.100000,180.000000,top
"R34","1k5","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",220.187500,-60.200000,180.000000,top
"S3","SKTHAHE010","SKTHAHE010",221.987500,-83.000000,-90.000000,top
"S4","SKTHAHE010","SKTHAHE010",214.437500,-83.025000,-90.000000,top
"U1","STM32F103C4Tx","LQFP-48_7x7mm_P0.5mm",211.175000,-69.300000,180.000000,top
"U2","TJA1051TK-3","DFN-8-1EP_3x3mm_P0.65mm_EP1.55x2.4mm",205.237500,-76.225000,180.000000,top
"Y1","16MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",221.637500,-71.250000,90.000000,top
